Questions Type (0 = question multiple choice, 1 = question short answer);Question text;Right Answers;Other Options;Picture;Subjects;Objectives
0;En physique, une force est représentée par...;Un vecteur///;Un trait///Une parallèle///Une droite///;none;Forces///;Représentation des forces à l'aide de flèches///;
0;Sur cette image, les forces 1 et 2 ont...;la même direction.///;le même sens.///la même intensité.///le même point d'application///;pictures\arbre_forces.jpg;Forces///;Représentation des forces à l'aide de flèches///;
1;Ce schéma représente un oiseau en accélération horizontale (vers la gauche). Quelle est le nom de la force manquante ?;La force de pesenteur///force de pesenteur///Force de pesenteur///la Force de pesenteur///;;pictures\oiseau.jpg;Forces///;Reconnaissance des différentes forces vues lors du cours///Interprétation de situations de la vie quotidienne à l'aide de la première loi de Newton///;
1;Sur ce schéma, quelle est le nom de la force manquante ?;;;none;Forces///;Reconnaissance des différentes forces vues lors du cours///Interprétation de situations de la vie quotidienne à l'aide de la première loi de Newton///;
1;Sur ce schéma, quelle est le nom de la force manquante ?;;;none;Forces///;Reconnaissance des différentes forces vues lors du cours///Interprétation de situations de la vie quotidienne à l'aide de la première loi de Newton///;
0;Dans la situation suivante, le parachutiste est-il...;à vitesse constante.///;en accélération contre le bas.///en accélération contre le haut.///immobile.///;pictures\Para_2.jpg;Forces///;Interprétation de situations de la vie quotidienne à l'aide de la première loi de Newton///;
0;Dans la situation suivante, le parachutiste est-il...;en accélération contre le bas.///;à vitesse constante.///en accélération contre le haut///immobile.///;pictures\Para_1.jpg;Forces///;Interprétation de situations de la vie quotidienne à l'aide de la première loi de Newton///;
0;Le poids corresponds à la quantité de matière qui compose un objet. Il se mesure en kilogramme.;Faux///;Vrai///Un peu des deux///42///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;La masse d'un objet ne change pas si celui-ci se trouve sur Terre, sur la Lune ou sur Jupiter.;Vrai///;Faux///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;Une constante de gravité s'exprime en Newton par kilogramme.;Vrai///;Faux///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;Le poids correspond à la force de pesenteur.;Vrai///;Ne sais pas///Faux///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;L'unité de la masse est le Newton.;Faux///;Vrai///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
1;Quelle est la constante de gravité de la terre ?;9.81///9,81///;;none;Forces///;F = m * g///;
0;La quantité de matière qui compose un objet reste constante, quel que soit l'endroit où se trouve l'objet dans l'univers.;Vrai///;Faux///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;Le volume d'un objet est une grandeur qui définit la quantité de matière d'un objet.;Faux///;Vrai///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;Il y a une différence entre le volume apparent et le volume réel d'un objet.;Vrai///;Faux///Ne sais pas///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;Un litre de mercure et un litre d'eau ont...;le même volume.///;la même masse volumique.///le même poids.///la même masse.///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;18 kilogrammes de plombs et 18 kilogrammes de tomates...;le même poids.///la même masse.///;le même volume.///la même masse volumique.///;none;Forces///Masse volumique///;Distinction entre poids et masse///Définition de la masse et du volume///;
0;La masse volumique est une caractéristique propre à chaque substance.;Vrai///;Faux///Ne sais pas///;none;Masse volumique///;Définition de la masse et du volume///;
0;La masse volumique définit la quantité de matière d'une substance qui pèse sur une certaine surface.;Faux///;Vrai///Ne sais pas///;none;Masse volumique///;Définition de la masse et du volume///;
1;Quelle est la couleur du liquide qui a la plus haute densité?;bleu///bleue///Bleu///Bleue///;;pictures/rainbowGlass.jpeg;Masse volumique///;Comprendre le rôle de la masse volumique dans l’empilement des liquides///;
0;Quelle(s) affirmation(s) est/sont correcte(s)?;Le liquide vert a une masse volumique plus grande que le liquide rouge///;Le liquide jaune est plus dense que le liquide bleu///Le liquide jaune est plus lourd que le liquide vert///La quantité de liquide jaune présente dans le verre est plus lourde que celle du liquide rouge///;pictures/rainbowGlass.jpeg;Masse volumique///;Comprendre le rôle de la masse volumique dans l’empilement des liquides///;
0;Cochez les unités qui peuvent quantifier la masse volumique;kg/L///tonne par mètre cube///gramme par mètre cube///;mètre///litre par mètre carré///kg///gramme par centimètre carré///;none;Masse volumique///;Comprendre le rôle de la masse volumique dans l’empilement des liquides///Formuler des hypothèses///;
